review_id,destination_id,hotel_id,rating,sentiment,review,review_date
1,77,223,3.5,Neutral,It was okay.,2024-07-14
2,173,132,4.5,Positive,Excellent service!,2024-03-14
3,170,245,4.2,Positive,Highly recommended.,2023-01-31
4,82,66,3.7,Neutral,Could be better.,2023-02-28
5,124,349,5.0,Positive,Beautiful place.,2023-07-15
6,142,43,4.7,Positive,Loved the stay.,2024-12-26
7,143,59,3.8,Neutral,Could be better.,2023-06-28
8,58,270,4.6,Positive,Loved the stay.,2024-01-12
9,186,415,4.2,Positive,Loved the stay.,2024-02-01
10,134,183,4.4,Positive,Excellent service!,2023-04-07
11,134,479,2.7,Negative,Very disappointed.,2024-03-06
12,71,339,3.6,Neutral,Could be better.,2024-07-09
13,24,390,3.6,Neutral,Average experience.,2023-07-09
14,39,490,3.5,Neutral,Average experience.,2023-08-13
15,29,427,3.9,Neutral,Could be better.,2023-12-14
16,158,274,4.0,Positive,Beautiful place.,2024-06-06
17,46,305,4.1,Positive,Great experience!,2024-01-03
18,181,393,4.2,Positive,Loved the stay.,2023-03-13
19,163,308,4.2,Positive,Great experience!,2024-01-15
20,153,65,3.7,Neutral,Decent place.,2023-12-31
21,198,412,3.3,Neutral,Average experience.,2023-07-05
22,1,14,3.9,Neutral,It was okay.,2024-12-26
23,155,261,4.5,Positive,Excellent service!,2023-11-19
24,39,490,4.4,Positive,Excellent service!,2023-08-16
25,91,158,4.1,Positive,Loved the stay.,2024-05-09
26,184,381,2.9,Negative,Bad service.,2023-12-21
27,80,193,3.1,Neutral,It was okay.,2024-06-16
28,47,167,3.5,Neutral,Decent place.,2023-04-09
29,176,356,3.6,Neutral,Average experience.,2024-03-09
30,174,26,5.0,Positive,Great experience!,2024-03-22
31,52,11,4.3,Positive,Beautiful place.,2024-04-29
32,81,365,3.9,Neutral,Average experience.,2023-03-07
33,112,333,4.4,Positive,Beautiful place.,2023-05-19
34,193,355,3.6,Neutral,Decent place.,2024-08-05
35,190,79,3.4,Neutral,Average experience.,2023-01-31
36,7,68,4.0,Positive,Loved the stay.,2024-08-03
37,88,103,4.0,Positive,Highly recommended.,2024-02-10
38,118,352,4.7,Positive,Highly recommended.,2024-03-25
39,127,254,3.6,Neutral,Average experience.,2023-07-22
40,76,271,3.0,Neutral,Could be better.,2024-07-10
41,123,4,3.0,Neutral,Decent place.,2024-07-17
42,138,341,4.2,Positive,Loved the stay.,2024-12-30
43,133,125,3.6,Neutral,It was okay.,2024-05-04
44,60,414,4.9,Positive,Great experience!,2023-05-29
45,177,475,4.8,Positive,Beautiful place.,2023-03-21
46,114,484,4.2,Positive,Great experience!,2024-12-03
47,78,32,4.3,Positive,Excellent service!,2023-06-10
48,98,384,5.0,Positive,Great experience!,2024-03-04
49,46,399,3.5,Neutral,Decent place.,2024-05-26
50,28,206,5.0,Positive,Great experience!,2023-08-25
51,48,56,4.2,Positive,Highly recommended.,2023-07-11
52,143,59,4.0,Positive,Great experience!,2023-06-03
53,76,232,4.6,Positive,Loved the stay.,2023-11-21
54,14,284,4.8,Positive,Beautiful place.,2023-11-20
55,99,433,4.1,Positive,Beautiful place.,2024-01-13
56,163,308,3.7,Neutral,Could be better.,2024-12-01
57,144,264,5.0,Positive,Loved the stay.,2023-10-14
58,167,362,3.8,Neutral,Average experience.,2024-12-29
59,38,465,4.4,Positive,Excellent service!,2024-01-30
60,82,173,4.6,Positive,Great experience!,2024-09-18
61,177,475,4.5,Positive,Loved the stay.,2024-05-12
62,138,87,3.5,Neutral,Decent place.,2023-12-25
63,36,311,4.1,Positive,Excellent service!,2023-07-21
64,158,165,3.8,Neutral,It was okay.,2023-06-30
65,152,81,4.5,Positive,Beautiful place.,2024-01-10
66,149,37,3.5,Neutral,It was okay.,2023-12-05
67,110,107,3.8,Neutral,Decent place.,2024-12-29
68,8,55,3.1,Neutral,Average experience.,2023-05-25
69,184,12,3.5,Neutral,It was okay.,2024-12-14
70,111,175,3.0,Neutral,Average experience.,2023-07-19
71,138,341,5.0,Positive,Loved the stay.,2024-01-25
72,80,386,4.3,Positive,Loved the stay.,2024-09-27
73,65,106,3.6,Neutral,Decent place.,2023-04-04
74,93,312,4.0,Positive,Beautiful place.,2024-05-01
75,16,147,3.8,Neutral,It was okay.,2024-12-05
76,81,236,4.5,Positive,Highly recommended.,2023-07-21
77,115,249,3.9,Neutral,Could be better.,2023-02-11
78,63,22,3.5,Neutral,Decent place.,2023-06-21
79,137,157,5.0,Positive,Excellent service!,2024-06-17
80,165,286,3.8,Neutral,Could be better.,2024-04-13
81,128,231,5.0,Positive,Great experience!,2024-02-11
82,33,166,4.6,Positive,Loved the stay.,2023-03-03
83,116,395,3.3,Neutral,Decent place.,2023-08-28
84,7,115,4.1,Positive,Great experience!,2024-11-19
85,97,248,4.6,Positive,Excellent service!,2023-12-23
86,191,444,3.0,Neutral,Could be better.,2025-01-17
87,179,144,4.7,Positive,Loved the stay.,2023-03-04
88,16,147,3.9,Neutral,It was okay.,2024-01-08
89,133,125,3.7,Neutral,Average experience.,2024-04-18
90,7,68,3.9,Neutral,It was okay.,2023-10-10
91,72,464,4.0,Positive,Excellent service!,2023-10-22
92,15,197,4.4,Positive,Highly recommended.,2024-05-20
93,3,374,3.7,Neutral,It was okay.,2023-06-25
94,95,110,4.7,Positive,Beautiful place.,2024-06-10
95,33,166,4.9,Positive,Great experience!,2023-06-05
96,136,156,3.5,Neutral,Average experience.,2024-03-21
97,110,107,3.7,Neutral,Could be better.,2023-11-25
98,44,48,3.9,Neutral,Average experience.,2024-06-23
99,14,284,4.8,Positive,Beautiful place.,2023-03-17
100,99,53,4.6,Positive,Highly recommended.,2023-06-23
101,110,450,4.1,Positive,Beautiful place.,2023-02-26
102,84,500,3.1,Neutral,Could be better.,2024-08-29
103,128,152,4.1,Positive,Highly recommended.,2023-07-22
104,174,73,3.8,Neutral,Could be better.,2024-06-23
105,192,346,3.0,Neutral,Decent place.,2024-12-19
